Station Name,Lines Served,Valid for Colours,Borough,Times Used (This Game),Currently Locked?,Notes
"Ochanomizu","Marunouchi","Red (Solid)",Tokyo,0,No,
"Hongo-sanchome","Marunouchi, Oedo","Red (Solid), Red (Stripe)",Tokyo,0,No,
"Korakuen","Marunouchi, Namboku","Red (Solid), Black",Tokyo,0,No,
"Myogadani","Marunouchi","Red (Solid)",Tokyo,0,No,
"Shin-otsuka","Marunouchi","Red (Solid)",Tokyo,0,No,
"Ikebukuro","Marunouchi, Yurakucho, Fukutoshin","Red (Solid), Yellow (Solid), Brown (Solid)",Tokyo,0,No,
"Naka-meguro","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Ebisu","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Hiroo","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Roppongi","Hibiya, Oedo","Brown (Stripe), Red (Stripe)",Tokyo,0,No,
"Kamiyacho","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Toranomon-hills","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Hibiya","Hibiya, Chiyoda, Mita","Brown (Stripe), Green (Solid), Blue (Stripe)",Tokyo,0,No,
"Higashi-ginza","Hibiya, Asakusa","Brown (Stripe), Purple (Solid)",Tokyo,0,No,
"Tsukiji","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Hatchobori","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Kayabacho","Hibiya, Tozai","Brown (Stripe), Blue (Solid)",Tokyo,0,No,
"Ningyocho","Hibiya, Asakusa","Brown (Stripe), Purple (Solid)",Tokyo,0,No,
"Kodemmacho","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Akihabara","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Naka-okachimachi","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Iriya","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Minowa","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Minami-senju","Hibiya","Brown (Stripe)",Tokyo,0,No,
"Kita-senju","Hibiya, Chiyoda","Brown (Stripe), Green (Solid)",Tokyo,0,No,
"Nakano","Tozai","Blue (Solid)",Tokyo,0,No,
"Ochiai","Tozai","Blue (Solid)",Tokyo,0,No,
"Takadanobaba","Tozai","Blue (Solid)",Tokyo,0,No,
"Waseda","Tozai","Blue (Solid)",Tokyo,0,No,
"Kagurazaka","Tozai","Blue (Solid)",Tokyo,0,No,
"Iidabashi","Tozai, Yurakucho, Namboku, Oedo","Blue (Solid), Yellow (Solid), Black, Red (Stripe)",Tokyo,0,No,
"Kudanshita","Tozai, Hanzomon, Shinjuku","Blue (Solid), Purple (Stripe), Green (Stripe)",Tokyo,0,No,
"Takebashi","Tozai","Blue (Solid)",Tokyo,0,No,
"Monzen-nakacho","Tozai, Oedo","Blue (Solid), Red (Stripe)",Tokyo,0,No,
"Kiba","Tozai","Blue (Solid)",Tokyo,0,No,
"Toyocho","Tozai","Blue (Solid)",Tokyo,0,No,
"Minami-sunamachi","Tozai","Blue (Solid)",Tokyo,0,No,
"Nishi-kasai","Tozai","Blue (Solid)",Tokyo,0,No,
"Kasai","Tozai","Blue (Solid)",Tokyo,0,No,
"Urayasu","Tozai","Blue (Solid)",Tokyo,0,No,
"Minami-gyotoku","Tozai","Blue (Solid)",Tokyo,0,No,
"Gyotoku","Tozai","Blue (Solid)",Tokyo,0,No,
"Myoden","Tozai","Blue (Solid)",Tokyo,0,No,
"Baraki-nakayama","Tozai","Blue (Solid)",Tokyo,0,No,
"Nishi-funabashi","Tozai","Blue (Solid)",Tokyo,0,No,
"Yoyogi-uehara","Chiyoda","Green (Solid)",Tokyo,0,No,
"Yoyogi-koen","Chiyoda","Green (Solid)",Tokyo,0,No,
"Meiji-jingumae","Chiyoda, Fukutoshin","Green (Solid), Brown (Solid)",Tokyo,0,No,
"Nogizaka","Chiyoda","Green (Solid)",Tokyo,0,No,
"Akasaka","Chiyoda","Green (Solid)",Tokyo,0,No,
"Nijubashimae","Chiyoda","Green (Solid)",Tokyo,0,No,
"Shin-ochanomizu","Chiyoda","Green (Solid)",Tokyo,0,No,
"Yushima","Chiyoda","Green (Solid)",Tokyo,0,No,
"Nezu","Chiyoda","Green (Solid)",Tokyo,0,No,
"Sendagi","Chiyoda","Green (Solid)",Tokyo,0,No,
"Nishi-nippori","Chiyoda","Green (Solid)",Tokyo,0,No,
"Machiya","Chiyoda","Green (Solid)",Tokyo,0,No,
"Ayase","Chiyoda","Green (Solid)",Tokyo,0,No,
"Kita-ayase","Chiyoda","Green (Solid)",Tokyo,0,No,
"Wakoshi","Yurakucho, Fukutoshin","Yellow (Solid), Brown (Solid)",Tokyo,0,No,
"Chikatetsu-narimasu","Yurakucho, Fukutoshin","Yellow (Solid), Brown (Solid)",Tokyo,0,No,
"Chikatetsu-akatsuka","Yurakucho, Fukutoshin","Yellow (Solid), Brown (Solid)",Tokyo,0,No,
"Heiwadai","Yurakucho, Fukutoshin","Yellow (Solid), Brown (Solid)",Tokyo,0,No,
"Hikawadai","Yurakucho, Fukutoshin","Yellow (Solid), Brown (Solid)",Tokyo,0,No,
"Kotake-mukaihara","Yurakucho, Fukutoshin","Yellow (Solid), Brown (Solid)",Tokyo,0,No,
"Senkawa","Yurakucho, Fukutoshin","Yellow (Solid), Brown (Solid)",Tokyo,0,No,
"Kanamecho","Yurakucho, Fukutoshin","Yellow (Solid), Brown (Solid)",Tokyo,0,No,
"Higashi-ikebukuro","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Gokokuji","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Edogawabashi","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Ichigaya","Yurakucho, Namboku, Shinjuku","Yellow (Solid), Black, Green (Stripe)",Tokyo,0,No,
"Kojimachi","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Nagatacho","Yurakucho, Hanzomon, Namboku","Yellow (Solid), Purple (Stripe), Black",Tokyo,0,No,
"Sakuradamon","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Yurakucho","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Ginza-itchome","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Shintomicho","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Tsukishima","Yurakucho, Oedo","Yellow (Solid), Red (Stripe)",Tokyo,0,No,
"Toyosu","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Tatsumi","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Shin-kiba","Yurakucho","Yellow (Solid)",Tokyo,0,No,
"Jimbocho","Hanzomon, Mita, Shinjuku","Purple (Stripe), Blue (Stripe), Green (Stripe)",Tokyo,0,No,
"Suitengumae","Hanzomon","Purple (Stripe)",Tokyo,0,No,
"Kiyosumi-shirakawa","Hanzomon, Oedo","Purple (Stripe), Red (Stripe)",Tokyo,0,No,
"Sumiyoshi","Hanzomon, Shinjuku","Purple (Stripe), Green (Stripe)",Tokyo,0,No,
"Kinshicho","Hanzomon","Purple (Stripe)",Tokyo,0,No,
"Oshiage","Hanzomon, Asakusa","Purple (Stripe), Purple (Solid)",Tokyo,0,No,
"Meguro","Namboku, Mita","Black, Blue (Stripe)",Tokyo,0,No,
"Shirokanedai","Namboku, Mita","Black, Blue (Stripe)",Tokyo,0,No,
"Shirokane-takanawa","Namboku, Mita","Black, Blue (Stripe)",Tokyo,0,No,
"Azabu-juban","Namboku, Oedo","Black, Red (Stripe)",Tokyo,0,No,
"Roppongi-itchome","Namboku","Black",Tokyo,0,No,
"Todaimae","Namboku","Black",Tokyo,0,No,
"Hon-komagome","Namboku","Black",Tokyo,0,No,
"Komagome","Namboku","Black",Tokyo,0,No,
"Nishigahara","Namboku","Black",Tokyo,0,No,
"Oji","Namboku","Black",Tokyo,0,No,
"Oji-kamiya","Namboku","Black",Tokyo,0,No,
"Shimo","Namboku","Black",Tokyo,0,No,
"Akabane-iwabuchi","Namboku","Black",Tokyo,0,No,
"Zoshigaya","Fukutoshin","Brown (Solid)",Tokyo,0,No,
"Nishi-waseda","Fukutoshin","Brown (Solid)",Tokyo,0,No,
"Higashi-shinjuku","Fukutoshin, Oedo","Brown (Solid), Red (Stripe)",Tokyo,0,No,
"Kita-sando","Fukutoshin","Brown (Solid)",Tokyo,0,No,
"Nishi-magome","Asakusa","Purple (Solid)",Tokyo,0,No,
"Magome","Asakusa","Purple (Solid)",Tokyo,0,No,
"Nakanobu","Asakusa","Purple (Solid)",Tokyo,0,No,
"Togoshi","Asakusa","Purple (Solid)",Tokyo,0,No,
"Gotanda","Asakusa","Purple (Solid)",Tokyo,0,No,
"Osaki-hirokoji","Asakusa","Purple (Solid)",Tokyo,0,No,
"Sengakuji","Asakusa","Purple (Solid)",Tokyo,0,No,
"Mita","Asakusa, Mita","Purple (Solid), Blue (Stripe)",Tokyo,0,No,
"Shibakoen","Mita","Blue (Stripe)",Tokyo,0,No,
"Daimon","Asakusa, Oedo","Purple (Solid), Red (Stripe)",Tokyo,0,No,
"Takaracho","Asakusa","Purple (Solid)",Tokyo,0,No,
"Higashi-nihombashi","Asakusa","Purple (Solid)",Tokyo,0,No,
"Asakusabashi","Asakusa","Purple (Solid)",Tokyo,0,No,
"Kuramae","Asakusa, Oedo","Purple (Solid), Red (Stripe)",Tokyo,0,No,
"Honjo-azumabashi","Asakusa","Purple (Solid)",Tokyo,0,No,
"Onarimon","Mita","Blue (Stripe)",Tokyo,0,No,
"Uchisaiwaicho","Mita","Blue (Stripe)",Tokyo,0,No,
"Suidobashi","Mita","Blue (Stripe)",Tokyo,0,No,
"Kasuga","Mita, Oedo","Blue (Stripe), Red (Stripe)",Tokyo,0,No,
"Hakusan","Mita","Blue (Stripe)",Tokyo,0,No,
"Sengoku","Mita","Blue (Stripe)",Tokyo,0,No,
"Sugamo","Mita","Blue (Stripe)",Tokyo,0,No,
"Nishi-sugamo","Mita","Blue (Stripe)",Tokyo,0,No,
"Shin-itabashi","Mita","Blue (Stripe)",Tokyo,0,No,
"Itabashi-kuyakushomae","Mita","Blue (Stripe)",Tokyo,0,No,
"Itabashi-honcho","Mita","Blue (Stripe)",Tokyo,0,No,
"Moto-hasunuma","Mita","Blue (Stripe)",Tokyo,0,No,
"Shimura-sakaue","Mita","Blue (Stripe)",Tokyo,0,No,
"Shimura-sanchome","Mita","Blue (Stripe)",Tokyo,0,No,
"Hasune","Mita","Blue (Stripe)",Tokyo,0,No,
"Nishidai","Mita","Blue (Stripe)",Tokyo,0,No,
"Takashimadaira","Mita","Blue (Stripe)",Tokyo,0,No,
"Shin-takashimadaira","Mita","Blue (Stripe)",Tokyo,0,No,
"Nishi-takashimadaira","Mita","Blue (Stripe)",Tokyo,0,No,
"Akebonobashi","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Ogawamachi","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Iwamotocho","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Bakuro-yokoyama","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Hamacho","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Morishita","Shinjuku, Oedo","Green (Stripe), Red (Stripe)",Tokyo,0,No,
"Kikukawa","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Nishi-ojima","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Ojima","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Higashi-ojima","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Funabori","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Ichinoe","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Mizue","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Shinozaki","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Motoyawata","Shinjuku","Green (Stripe)",Tokyo,0,No,
"Hikarigaoka","Oedo","Red (Stripe)",Tokyo,0,No,
"Nerima-kasugacho","Oedo","Red (Stripe)",Tokyo,0,No,
"Toshimaen","Oedo","Red (Stripe)",Tokyo,0,No,
"Nerima","Oedo","Red (Stripe)",Tokyo,0,No,
"Shin-egota","Oedo","Red (Stripe)",Tokyo,0,No,
"Ochiai-minami-nagasaki","Oedo","Red (Stripe)",Tokyo,0,No,
"Nakai","Oedo","Red (Stripe)",Tokyo,0,No,
"Higashi-nakano","Oedo","Red (Stripe)",Tokyo,0,No,
"Nishi-shinjuku-gochome","Oedo","Red (Stripe)",Tokyo,0,No,
"Tochomae","Oedo","Red (Stripe)",Tokyo,0,No,
"Shinjuku-nishiguchi","Oedo","Red (Stripe)",Tokyo,0,No,
"Wakamatsu-kawada","Oedo","Red (Stripe)",Tokyo,0,No,
"Ushigome-yanagicho","Oedo","Red (Stripe)",Tokyo,0,No,
"Ushigome-kagurazaka","Oedo","Red (Stripe)",Tokyo,0,No,
"Ueno-okachimachi","Oedo","Red (Stripe)",Tokyo,0,No,
"Shin-okachimachi","Oedo","Red (Stripe)",Tokyo,0,No,
"Ryogoku","Oedo","Red (Stripe)",Tokyo,0,No,
"Kachidoki","Oedo","Red (Stripe)",Tokyo,0,No,
"Tsukijishijo","Oedo","Red (Stripe)",Tokyo,0,No,
"Shiodome","Oedo","Red (Stripe)",Tokyo,0,No,
"Akabanebashi","Oedo","Red (Stripe)",Tokyo,0,No,
"Kokuritsu-kyogijo","Oedo","Red (Stripe)",Tokyo,0,No,
"Yoyogi","Oedo","Red (Stripe)",Tokyo,0,No,
