Station Name,Lines Served,Valid for Colours,Zone(s),Times Used (This Game),Currently Locked?,Notes
"Chardon Lagache","10","Orange",1,0,No,
"Charenton–Écoles","8","Black (8-Ball)",1,0,No,
"Charles de Gaulle–Étoile","1, 2, 6, RER A","Yellow / Blue / Green / Red",1,0,No,
"Charles Michels","10","Orange",1,0,No,
"Charonne","9","Yellow",1,0,No,
"Château d'Eau","4","Purple",1,0,No,
"Château de Vincennes","1, RER A","Yellow / Red",1,0,No,
"Château Rouge","4","Purple",1,0,No,
"Château-Landon","7","Brown",1,0,No,
"Châtelet","1, 11, 14, 4, 7, RER A, RER B, RER D","Yellow / Purple / Brown / Red / Blue / Green",1,0,No,
"Châtillon–Montrouge","13, T6","Blue",1,0,No,
"Chaussée d'Antin–La Fayette","7, 9","Brown / Yellow",1,0,No,
"Chemin Vert","8","Black (8-Ball)",1,0,No,
"Chevaleret","6","Green",1,0,No,
"Chevilly-Larue","14, T7","Purple",1,0,No,
"Cité","4","Purple",1,0,No,
"Cluny–La Sorbonne","10, RER B, RER C","Orange / Blue / Yellow",1,0,No,
"Colonel Fabien","2","Blue",1,0,No,
"Commerce","8","Black (8-Ball)",1,0,No,
"Concorde","1, 12, 8","Yellow / Black (8-Ball) / Green",1,0,No,
"Convention","12","Green",1,0,No,
"Corentin Cariou","7","Brown",1,0,No,
"Corentin Celton","12","Green",1,0,No,
"Corvisart","6","Green",1,0,No,
"Coteaux Beauclair","11","Brown",1,0,No,
"Cour Saint-Émilion","14","Purple",1,0,No,
"Courcelles","2","Blue",1,0,No,
"Couronnes","2","Blue",1,0,No,
"Créteil–L'Échat","8","Black (8-Ball)",1,0,No,
"Créteil–Préfecture","8","Black (8-Ball)",1,0,No,
"Créteil–Université","8","Black (8-Ball)",1,0,No,
"Crimée","7","Brown",1,0,No,
"Croix de Chavaux","9","Yellow",1,0,No,
"Croix-Rouge","10","Orange",1,0,No,
"Danube","7bis","Brown",1,0,No,
"Daumesnil","6, 8","Green / Black (8-Ball)",1,0,No,
"Denfert-Rochereau","4, 6, RER B","Purple / Green / Blue",1,0,No,
"Dugommier","6","Green",1,0,No,
"Dupleix","6","Green",1,0,No,
"Duroc","10, 13","Orange / Blue",1,0,No,
"École Militaire","8","Black (8-Ball)",1,0,No,
"École Vétérinaire de Maisons-Alfort","8","Black (8-Ball)",1,0,No,
"Edgar Quinet","6","Green",1,0,No,
"Église d'Auteuil","10","Orange",1,0,No,
"Église de Pantin","5","Orange",1,0,No,
"Élysées–La Défense","1","Yellow",1,0,No,
"Esplanade de La Défense","1","Yellow",1,0,No,
"Étienne Marcel","4","Purple",1,0,No,
"Europe","3","Red",1,0,No,
"Exelmans","9","Yellow",1,0,No,
"Faidherbe–Chaligny","8","Black (8-Ball)",1,0,No,
"Falguière","12","Green",1,0,No,
"Félix Faure","8","Black (8-Ball)",1,0,No,
"Filles du Calvaire","8","Black (8-Ball)",1,0,No,
"Fort d'Aubervilliers","7","Brown",1,0,No,
"Franklin D. Roosevelt","1, 9","Yellow",1,0,No,
"Front Populaire","12","Green",1,0,No,
"Gabriel Péri","13","Blue",1,0,No,
"Gaîté","13","Blue",1,0,No,
"Gallieni","3","Red",1,0,No,
"Gambetta","3, 3bis","Red",1,0,No,
"Gare d'Austerlitz","10, 5, RER C","Orange / Yellow",1,0,No,
"Gare de l'Est","4, 5, 7","Purple / Orange / Brown",1,0,No,
"Gare de Lyon","1, 14, RER A, RER D","Yellow / Purple / Red / Green",1,0,No,
"Gare du Nord","4, 5, RER B, RER D, RER E","Purple / Orange / Blue / Green",1,0,No,
"Garibaldi","13","Blue",1,0,No,
"George V","1","Yellow",1,0,No,
"Glacière","6","Green",1,0,No,
"Goncourt","11","Brown",1,0,No,
"Grands Boulevards","8, 9","Black (8-Ball) / Yellow",1,0,No,
"Guy Môquet","13","Blue",1,0,No,
"Havre–Caumartin","3, 9, RER A, RER E","Red / Yellow / Purple",1,0,No,
"Haxo","3bis, 7bis","Red / Brown",1,0,No,
"Hoche","5","Orange",1,0,No,
"Hôpital Bicêtre","14","Purple",1,0,No,
"Hôtel de Ville","1, 11","Yellow / Brown",1,0,No,
"Iéna","9","Yellow",1,0,No,
"Invalides","13, 8, RER C","Black (8-Ball) / Blue / Yellow",1,0,No,
"Jacques Bonsergent","5","Orange",1,0,No,
"Jasmin","9","Yellow",1,0,No,
"Jaurès","2, 5, 7bis","Blue / Orange / Brown",1,0,No,
"Javel–André Citroën","10, RER C","Orange / Yellow",1,0,No,
"Jourdain","11","Brown",1,0,No,
"Jules Joffrin","12","Green",1,0,No,
"Jussieu","10, 7","Brown / Orange",1,0,No,
"Kléber","6","Green",1,0,No,
"L'Haÿ-les-Roses","14","Purple",1,0,No,
"La Chapelle","2, RER B, RER D, RER E","Blue / Green / Purple",1,0,No,
"La Courneuve–8 mai 1945","7, T1","Brown",1,0,No,
"La Défense","1, RER A, RER E, T2","Yellow / Red / Purple",1,0,No,
"La Défense–Michelet","1","Yellow",1,0,No,
"La Dhuys","11","Brown",1,0,No,
"La Fourche","13","Blue",1,0,No,
"La Motte-Picquet–Grenelle","10, 6, 8","Green / Black (8-Ball) / Orange",1,0,No,
"La Muette","9, RER C","Yellow",1,0,No,
"La Tour-Maubourg","8","Black (8-Ball)",1,0,No,
"Lamarck–Caulaincourt","12","Green",1,0,No,
"Laumière","5","Orange",1,0,No,
"Le Kremlin–Bicêtre","7","Brown",1,0,No,
"Le Peletier","7","Brown",1,0,No,
"Ledru-Rollin","8","Black (8-Ball)",1,0,No,
"Les Agnettes","13","Blue",1,0,No,
"Les Courtilles","13, T1","Blue",1,0,No,
"Les Gobelins","7","Brown",1,0,No,
"Les Halles","4, RER A, RER B, RER D","Purple / Red / Blue / Green",1,0,No,
"Les Sablons","1","Yellow",1,0,No,
"Liberté","8","Black (8-Ball)",1,0,No,
"Liège","13","Blue",1,0,No,
"Louis Blanc","7, 7bis","Brown",1,0,No,
"Louise Michel","3","Red",1,0,No,
"Lourmel","8","Black (8-Ball)",1,0,No,
"Louvre–Rivoli","1","Yellow",1,0,No,
"Mabillon","10","Orange",1,0,No,
"Madeleine","12, 14, 8","Black (8-Ball) / Green / Purple",1,0,No,
"Mairie d'Aubervilliers","12","Green",1,0,No,
"Mairie d'Issy","12","Green",1,0,No,
"Mairie d'Ivry","7","Brown",1,0,No,
"Mairie de Clichy","13","Blue",1,0,No,
"Mairie de Montreuil","9","Yellow",1,0,No,
"Mairie de Montrouge","4","Purple",1,0,No,
"Mairie de Saint-Ouen","13, 14","Blue / Purple",1,0,No,
"Mairie des Lilas","11","Brown",1,0,No,
"Maison Blanche","14, 7","Brown / Purple",1,0,No,
"Maisons-Alfort–Les Juilliottes","8","Black (8-Ball)",1,0,No,
"Maisons-Alfort–Stade","8","Black (8-Ball)",1,0,No,
"Malakoff–Plateau de Vanves","13","Blue",1,0,No,
"Malakoff–Rue Étienne Dolet","13","Blue",1,0,No,
"Malesherbes","3","Red",1,0,No,
"Maraîchers","9","Yellow",1,0,No,
"Marcadet–Poissonniers","12, 4","Purple / Green",1,0,No,
"Marcel Sembat","9","Yellow",1,0,No,
"Martin Nadaud","3","Red",1,0,No,
"Marx Dormoy","12","Green",1,0,No,
"Maubert–Mutualité","10","Orange",1,0,No,
"Ménilmontant","2","Blue",1,0,No,
"Metro","1, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 2, 3, 3bis, 4, 5, 6, 7, 7bis, 8, 9","Yellow / Blue / Red / Purple / Orange / Green / Brown / Black (8-Ball)",1,0,No,
"Michel Bizot","8","Black (8-Ball)",1,0,No,
"Michel-Ange–Auteuil","10, 9","Yellow / Orange",1,0,No,
"Michel-Ange–Molitor","10, 9","Yellow / Orange",1,0,No,
"Mirabeau","10","Orange",1,0,No,
"Miromesnil","13, 9","Yellow / Blue",1,0,No,
"Monceau","2","Blue",1,0,No,
"Montgallet","8","Black (8-Ball)",1,0,No,
"Montparnasse–Bienvenüe","12, 13, 4, 6","Purple / Green / Blue",1,0,No,
"Montreuil–Hôpital","11","Brown",1,0,No,
"Mouton-Duvernet","4","Purple",1,0,No,
"Nation","1, 2, 6, 9, RER A","Yellow / Blue / Green / Red",1,0,No,
"Nationale","6","Green",1,0,No,
"Notre-Dame-de-Lorette","12","Green",1,0,No,
"Notre-Dame-des-Champs","12","Green",1,0,No,
"Oberkampf","5, 9","Orange / Yellow",1,0,No,
"Odéon","10, 4","Purple / Orange",1,0,No,
"Olympiades","14","Purple",1,0,No,
"Opéra","3, 7, 8, RER A","Red / Brown / Black (8-Ball)",1,0,No,
"Ourcq","5","Orange",1,0,No,
"Palais Royal–Musée du Louvre","1, 7","Yellow / Brown",1,0,No,
"Parmentier","3","Red",1,0,No,
"Passy","6","Green",1,0,No,
"Pasteur","12, 6","Green",1,0,No,
"Pelleport","3bis","Red",1,0,No,
"Père Lachaise","2, 3","Blue / Red",1,0,No,
"Pereire","3, RER C","Red / Yellow",1,0,No,
"Pernety","13","Blue",1,0,No,
"Philippe Auguste","2","Blue",1,0,No,
"Picpus","6","Green",1,0,No,
"Pierre et Marie Curie","7","Brown",1,0,No,
"Pigalle","12, 2","Blue / Green",1,0,No,
"Place d'Italie","5, 6, 7","Orange / Green / Brown",1,0,No,
"Place de Clichy","13, 2","Blue",1,0,No,
"Place des Fêtes","11, 7bis","Brown",1,0,No,
"Place Monge","7","Brown",1,0,No,
"Plaisance","13","Blue",1,0,No,
"Pointe du Lac","8","Black (8-Ball)",1,0,No,
"Poissonnière","7","Brown",1,0,No,
"Pont Cardinet","14","Purple",1,0,No,
"Pont de Levallois–Bécon","3","Red",1,0,No,
"Pont de Neuilly","1","Yellow",1,0,No,
"Pont de Sèvres","9, T2","Yellow",1,0,No,
"Pont Marie","7","Brown",1,0,No,
"Pont Neuf","7","Brown",1,0,No,
"Porte d'Auteuil","10","Orange",1,0,No,
"Porte d'Italie","7, T3a","Brown",1,0,No,
"Porte d'Ivry","7, T3a","Brown",1,0,No,
"Porte d'Orléans","4, T3a","Purple",1,0,No,
"Porte Dauphine","2, RER C, T3b","Blue / Yellow",1,0,No,
"Porte de Bagnolet","3, T3b","Red",1,0,No,
"Porte de Champerret","3, T3b","Red",1,0,No,
"Porte de Charenton","8, T3a","Black (8-Ball)",1,0,No,
"Porte de Choisy","7, T3a, T9","Brown",1,0,No,
"Porte de Clichy","13, 14, RER C, T3b","Blue / Purple / Yellow",1,0,No,
"Porte de Clignancourt","4, T3b","Purple",1,0,No,
"Porte de la Chapelle","12, T3b","Green",1,0,No,
"Porte de la Villette","7, T3b","Brown",1,0,No,
"Porte de Montreuil","9, T3b","Yellow",1,0,No,
"Porte de Pantin","5, T3b","Orange",1,0,No,
"Porte de Saint-Cloud","9","Yellow",1,0,No,
"Porte de Saint-Ouen","13, T3b","Blue",1,0,No,
"Porte de Vanves","13, T3a","Blue",1,0,No,
"Porte de Versailles","12, T2, T3a","Green",1,0,No,
"Porte de Vincennes","1, T3a, T3b","Yellow",1,0,No,
"Porte des Lilas","11, 3bis, T3b","Red / Brown",1,0,No,
"Porte Dorée","8, T3a","Black (8-Ball)",1,0,No,
"Porte Maillot","1, RER C, RER E, T3b","Yellow / Purple",1,0,No,
"Porte Molitor","10, 9","Yellow / Orange",1,0,No,
"Pré-Saint-Gervais","7bis, T3b","Brown",1,0,No,
"Projects","3bis, 7bis","Red / Brown",1,0,No,
"Pyramides","14, 7","Brown / Purple",1,0,No,
"Pyrénées","11","Brown",1,0,No,
"Quai de la Gare","6","Green",1,0,No,
"Quai de la Rapée","5","Orange",1,0,No,
"Quatre-Septembre","3","Red",1,0,No,
"Rambuteau","11","Brown",1,0,No,
"Ranelagh","9","Yellow",1,0,No,
"Raspail","4, 6","Purple / Green",1,0,No,
"Réaumur–Sébastopol","3, 4","Red / Purple",1,0,No,
"Rennes","12","Green",1,0,No,
"République","11, 3, 5, 8, 9","Red / Orange / Black (8-Ball) / Yellow / Brown",1,0,No,
"RER","RER C","Yellow",1,0,No,
"Reuilly–Diderot","1, 8","Yellow / Black (8-Ball)",1,0,No,
"Richard-Lenoir","5","Orange",1,0,No,
"Richelieu–Drouot","8, 9","Black (8-Ball) / Yellow",1,0,No,
"Riquet","7","Brown",1,0,No,
"Robespierre","9","Yellow",1,0,No,
"Romainville–Carnot","11","Brown",1,0,No,
"Rome","2","Blue",1,0,No,
"Rosny–Bois-Perrier","11, RER E","Brown / Purple",1,0,No,
"Rue de la Pompe","9","Yellow",1,0,No,
"Rue des Boulets","9","Yellow",1,0,No,
"Rue du Bac","12","Green",1,0,No,
"Rue Saint-Maur","3","Red",1,0,No,
"Saint-Ambroise","9","Yellow",1,0,No,
"Saint-Augustin","9","Yellow",1,0,No,
"Saint-Denis-Université","13, T5","Blue",1,0,No,
"Saint-Denis–Pleyel","14, RER D","Purple / Green",1,0,No,
"Saint-Denis–Porte de Paris","13, T8","Blue",1,0,No,
"Saint-Fargeau","3bis","Red",1,0,No,
"Saint-François-Xavier","13","Blue",1,0,No,
"Saint-Georges","12","Green",1,0,No,
"Saint-Germain-des-Prés","4","Purple",1,0,No,
"Saint-Jacques","6","Green",1,0,No,
"Saint-Lazare","12, 13, 14, 3, RER E","Red / Green / Blue / Purple",1,0,No,
"Saint-Mandé","1","Yellow",1,0,No,
"Saint-Marcel","5","Orange",1,0,No,
"Saint-Martin","8, 9","Black (8-Ball) / Yellow",1,0,No,
"Saint-Michel","4, RER B, RER C","Purple / Blue / Yellow",1,0,No,
"Saint-Ouen","14, RER C","Purple / Yellow",1,0,No,
"Saint-Paul","1","Yellow",1,0,No,
"Saint-Philippe du Roule","9","Yellow",1,0,No,
"Saint-Placide","4","Purple",1,0,No,
"Saint-Sébastien–Froissart","8","Black (8-Ball)",1,0,No,
"Saint-Sulpice","4","Purple",1,0,No,
"Ségur","10","Orange",1,0,No,
"Sentier","3","Red",1,0,No,
"Serge Gainsbourg","11","Brown",1,0,No,
"Sèvres–Babylone","10, 12","Orange / Green",1,0,No,
"Sèvres–Lecourbe","6","Green",1,0,No,
"Simplon","4","Purple",1,0,No,
"Solférino","12, RER C","Green / Yellow",1,0,No,
"Stalingrad","2, 5, 7","Blue / Orange / Brown",1,0,No,
"Strasbourg–Saint-Denis","4, 8, 9","Purple / Black (8-Ball) / Yellow",1,0,No,
"Sully–Morland","7","Brown",1,0,No,
"Télégraphe","11","Brown",1,0,No,
"Temple","3","Red",1,0,No,
"Ternes","2","Blue",1,0,No,
"Thiais–Orly","14, RER C","Purple / Yellow",1,0,No,
"Tolbiac","7","Brown",1,0,No,
"Trinité–d'Estienne d'Orves","12","Green",1,0,No,
"Trocadéro","6, 9","Green / Yellow",1,0,No,
"Tuileries","1","Yellow",1,0,No,
"Vaneau","10","Orange",1,0,No,
"Varenne","13","Blue",1,0,No,
"Vaugirard","12","Green",1,0,No,
"Vavin","4","Purple",1,0,No,
"Victor Hugo","2","Blue",1,0,No,
"Villejuif–Gustave Roussy","14","Purple",1,0,No,
"Villejuif–Léo Lagrange","7","Brown",1,0,No,
"Villejuif–Louis Aragon","7, T7","Brown",1,0,No,
"Villejuif–Paul Vaillant-Couturier","7","Brown",1,0,No,
"Villiers","2, 3","Blue / Red",1,0,No,
"Volontaires","12","Green",1,0,No,
"Voltaire","9","Yellow",1,0,No,
"Wagram","3","Red",1,0,No,
